Task,TabuLa-8B (0 shots),TabuLa-8B (1 shots),TabuLa-8B (2 shots),TabuLa-8B (3 shots),TabuLa-8B (4 shots),TabuLa-8B (8 shots),TabuLa-8B (16 shots),TabuLa-8B (32 shots),TabuLa-8B (64 shots),TabuLa-8B (128 shots),Random Baseline
amlb/data_scientist_salary,0.328,0.328,0.438,0.297,0.398,0.391,0.344,0.391,,,0.167
amlb/imdb_genre_prediction,0.844,0.727,0.695,0.812,0.742,0.711,0.812,0.828,,,0.5
amlb/jigsaw_unintended_bias100K,0.938,0.914,0.922,0.984,0.922,0.961,,,,,0.5
amlb/kick_starter_funding,0.594,0.641,0.547,0.594,0.68,0.562,0.641,0.609,,,0.5
amlb/melbourne_airbnb,0.727,0.852,0.898,,,,,,,,0.1
amlb/news_channel,0.297,0.227,0.242,0.273,0.227,0.172,0.312,,,,0.167
amlb/product_sentiment_machine_hack,0.406,0.445,0.469,0.414,0.438,0.508,0.469,0.531,0.648,,0.25
amlb/wine_reviews,0.648,0.617,0.641,0.68,0.711,0.695,0.68,,,,0.033
grinsztajn/cat_clf/albert,0.445,0.562,0.477,0.461,0.5,0.492,0.523,,,,0.5
grinsztajn/cat_clf/compas-two-years,0.547,0.516,0.508,0.578,0.539,0.547,0.578,0.602,,,0.5
grinsztajn/cat_clf/covertype,0.422,0.586,0.508,0.5,0.57,0.586,,,,,0.5
grinsztajn/cat_clf/default-of-credit-card-clients,0.508,,0.523,0.562,0.531,0.477,0.531,0.539,,,0.5
grinsztajn/cat_clf/electricity,0.461,0.57,0.617,0.562,0.641,0.656,0.594,0.664,,,0.5
grinsztajn/cat_clf/eye_movements,0.508,0.516,0.453,0.586,0.43,0.477,0.5,,,,0.5
grinsztajn/cat_clf/road-safety,0.508,0.57,0.617,0.641,0.477,0.5,0.547,,,,0.5
grinsztajn/cat_reg/Bike_Sharing_Demand,0.352,0.359,0.32,0.414,0.344,0.414,0.445,0.508,,,0.25
grinsztajn/cat_reg/Brazilian_houses,0.344,0.453,0.414,0.555,0.547,0.625,0.781,0.797,,,0.25
grinsztajn/cat_reg/Mercedes_Benz_Greener_Manufacturing,0.266,0.227,0.227,,,,,,,,0.25
grinsztajn/cat_reg/OnlineNewsPopularity,0.289,0.203,0.297,0.234,0.273,0.273,,,,,0.25
grinsztajn/cat_reg/SGEMM_GPU_kernel_performance,0.094,0.359,0.469,0.555,0.602,0.711,0.867,0.898,,,0.25
grinsztajn/cat_reg/analcatdata_supreme,0.461,0.352,0.32,0.461,0.453,0.492,0.758,0.914,,,0.333
grinsztajn/cat_reg/black_friday,0.203,0.266,0.305,0.195,0.234,0.289,0.289,0.297,,,0.25
grinsztajn/cat_reg/diamonds,0.344,0.398,0.516,0.609,0.547,0.609,0.656,0.688,,,0.25
grinsztajn/cat_reg/house_sales,0.258,0.398,0.344,0.375,0.453,0.484,0.484,,,,0.25
grinsztajn/cat_reg/nyc-taxi-green-dec-2016,0.242,0.414,0.359,0.469,0.445,0.461,0.523,,,,0.25
grinsztajn/cat_reg/particulate-matter-ukair-2017,0.305,0.453,0.438,0.516,0.375,0.523,0.523,,,,0.25
grinsztajn/cat_reg/visualizing_soil,0.281,0.234,0.336,0.453,0.383,0.375,0.453,0.688,,,0.25
grinsztajn/cat_reg/yprop_4_1,0.203,0.266,0.203,0.266,0.219,0.305,,,,,0.25
grinsztajn/num_clf/Diabetes130US,0.531,0.539,0.492,0.539,0.508,0.484,0.562,0.484,0.555,,0.5
grinsztajn/num_clf/MagicTelescope,0.555,0.602,0.656,0.711,0.703,0.734,0.75,0.695,,,0.5
grinsztajn/num_clf/MiniBooNE,0.461,0.43,0.57,0.578,0.539,0.57,,,,,0.5
grinsztajn/num_clf/bank-marketing,0.5,0.539,0.578,0.555,0.578,0.57,0.523,0.656,0.562,,0.5
